Gene,Essential,Essentiality Standard Deviation,Essentiality P-value,Essentiality Classification,Mean(Log10(Fluconazole/DMSO frequency)) in Gene Body,P value of Mean Fold Change in Gene Body Compared to Intergenic Inserts,Mean(Log10(Fluconazole/DMSO frequency)) in 5' 300 bases,P value of Mean Fold Change in 5' 300 bases Compared to Intergenic Inserts,Insert sites in Gene Body,Insert sites in 300 bases to 5' of ATG,In Madhani Deletion Collection,Human Ortholog
CNAG_00500,1.00E-06,1.00E-05,0,NESS,-0.06036221,0.668623016,0.028441928,0.207525813,18,53,TRUE,FALSE
CNAG_00501,0.002056,0.001239527,7.91E-260,NESS,-0.112373674,0.209223059,0.045476858,0.614701859,29,15,TRUE,FALSE
CNAG_00502,2.70E-05,6.17E-05,0,NESS,0.016920729,0.850672941,0.112649249,0.001741455,10,70,TRUE,FALSE
CNAG_00503,0,0,0,NESS,-0.022076384,0.877493299,-0.214178523,0.000408533,43,42,TRUE,FALSE
CNAG_00505,0,0,0,NESS,-0.02500745,0.764579901,-0.075609734,0.148743362,68,54,TRUE,FALSE
CNAG_00506,0,0,0,NESS,0.045580371,0.251262485,-0.084890806,0.095587963,36,65,TRUE,FALSE
CNAG_00507,0,0,0,NESS,0.018155759,0.32297884,0.020388173,0.761719728,44,4,TRUE,FALSE
CNAG_00508,7.00E-06,3.55E-05,0,NESS,-0.26023773,0.000465552,-0.01366352,0.901526517,31,20,TRUE,FALSE
CNAG_00511,0,0,0,NESS,-0.099536423,0.185967942,0.15470796,0.133052,30,13,TRUE,FALSE
CNAG_00514,0.009561,0.004779605,3.77E-201,NESS,0.311289374,5.47E-05,0.002713143,0.588538404,30,44,TRUE,FALSE
CNAG_00515,1.00E-06,1.00E-05,0,NESS,0.012222042,0.577870847,-0.124039915,0.064939099,54,38,TRUE,FALSE
CNAG_00517,0.000155,0.000158513,0,NESS,-0.094575914,0.338168368,-0.031099216,0.670187934,43,74,TRUE,FALSE
CNAG_00523,0,0,0,NESS,-0.087040228,0.121941807,0.064890866,0.016273045,32,68,TRUE,FALSE
CNAG_00526,0,0,0,NESS,-0.054703664,0.280374085,0.017673522,0.647497853,60,12,TRUE,FALSE
CNAG_00529,0,0,0,NESS,-0.025377496,0.642532447,0.022063225,0.577733185,57,39,TRUE,FALSE
CNAG_00531,0.000294,0.000379745,7.65416455984012e-311,NESS,-0.050083839,0.260046818,-0.045692208,0.74078209,159,37,TRUE,FALSE
CNAG_00532,4.50E-05,7.96E-05,0,NESS,-0.009032349,0.935299917,0.04406317,0.205333446,26,27,TRUE,FALSE
CNAG_00534,0.000154,0.000202719,0,NESS,0.302106305,0.002952536,0.048894746,0.277232894,11,29,TRUE,FALSE
CNAG_00538,1.60E-05,4.20E-05,0,NESS,0.43526063,5.90E-05,0.012433432,0.221937478,14,81,TRUE,FALSE
CNAG_00542,2.00E-06,1.41E-05,0,NESS,-0.105724604,0.052683082,0.066070876,0.242575959,79,24,TRUE,FALSE
CNAG_00543,0.001187,0.000948966,2.18E-271,NESS,-0.172931383,0.257121814,0.057476924,0.339809316,13,17,TRUE,FALSE
CNAG_00544,0.000349,0.000330135,7.40234842012939e-317,NESS,-0.048683496,0.869934768,0.04687724,0.597567405,55,20,TRUE,FALSE
CNAG_00546,1.60E-05,4.20E-05,0,NESS,-0.110043703,0.090890057,-0.167302604,0.109054875,74,15,TRUE,FALSE
CNAG_00547,0,0,0,NESS,-0.068431762,0.362778117,-0.789111207,0.021114329,68,2,TRUE,FALSE
CNAG_00555,0,0,0,NESS,-0.106494378,0.174063349,-0.19600237,0.02676126,61,27,TRUE,FALSE
CNAG_00558,0.000937,0.000518867,2.29E-297,NESS,-0.362327476,0.002742781,0.017777571,NA,15,1,TRUE,FALSE
CNAG_00559,0.000472,0.00055379,1.32E-294,NESS,-1.354379726,1.39E-57,-1.135622764,1.04E-15,88,23,TRUE,FALSE
