sample,strain,name,dataset,run,source,lineage,vni_subdivision
SRS404741,Bt45,Cryptococcus_neoformans_Bt45,Desjardins,,Clinical,VNBI,
SRS404743,Bt34,Cryptococcus_neoformans var. grubii_Bt34,Desjardins,,Clinical,VNBII,
SRS404746,Bt33,Cryptococcus_neoformans var. grubii_Bt33,Desjardins,,Clinical,VNBII,
SRS404745,Bt18,Cryptococcus_neoformans_Bt18,Desjardins,SRR798140,Clinical,VNI,VNIa-Y
SRS404750,Bt31,Cryptococcus_neoformans var. grubii_Bt31,Desjardins,,Clinical,VNBII,
SRS404759,Bt93,Cryptococcus_neoformans var. grubii_Bt93,Desjardins,SRR798915,Clinical,VNI,VNIc
SRS404753,Bt6,Cryptococcus_neoformans var. grubii_Bt6,Desjardins,SRR798697,Clinical,VNI,VNIa-Y
SRS404766,Bt126,Cryptococcus_neoformans var. grubii_Bt126,Desjardins,SRR798161,Clinical,VNI,VNIc
SRS404755,Bt84,Cryptococcus_neoformans var. grubii_Bt84,Desjardins,,Clinical,VNBII,
SRS404756,Bt20,Cryptococcus_neoformans_Bt20,Desjardins,SRR798163,Clinical,VNI,VNIc
SRS404760,Bt132,Cryptococcus_neoformans_Bt132,Desjardins,SRR798175,Clinical,VNI,VNIa-4
SRS404761,MW-RSA606,Cryptococcus_neoformans var. grubii_MW-RSA606,Desjardins,SRR798870,Clinical,VNI,VNIb
SRS404775,Bt156,Cryptococcus_neoformans var. grubii_Bt156,Desjardins,SRR798180,Clinical,VNI,VNIc
SRS404765,Bt56,Cryptococcus_neoformans var. grubii_Bt56,Desjardins,,Clinical,VNBII,
SRS404772,Bt141,Cryptococcus_neoformans var. grubii_Bt141,Desjardins,SRR798191,Clinical,VNI,VNIa-5
SRS404773,Bt119,Cryptococcus_neoformans var. grubii_Bt119,Desjardins,SRR798197,Clinical,VNI,VNIa-93
SRS404786,Bt72,Cryptococcus_neoformans var. grubii_Bt72,Desjardins,SRR798959,Clinical,VNI,VNIc
SRS404777,Bt78,Cryptococcus_neoformans var. grubii_Bt78,Desjardins,SRR798589,Clinical,VNI,VNIc
SRS404792,Bt87,Cryptococcus_neoformans var. grubii_Bt87,Desjardins,SRR798238,Clinical,VNI,VNIc
SRS404778,Bt88,Cryptococcus_neoformans var. grubii_Bt88,Desjardins,,Clinical,VNBII,
SRS404779,Bt46,Cryptococcus_neoformans_Bt46,Desjardins,,Clinical,VNBII,
SRS404780,Bt114,Cryptococcus_neoformans var. grubii_Bt114,Desjardins,SRR798220,Clinical,VNI,VNIc
SRS404781,Bt52,Cryptococcus_neoformans var. grubii_Bt52,Desjardins,,Clinical,VNBII,
SRS404782,Bt44,Cryptococcus_neoformans_Bt44,Desjardins,SRR798222,Clinical,VNI,VNIc
SRS404783,Bt214,Cryptococcus_neoformans var. grubii_Bt214,Desjardins,SRR798599,Clinical,VNI,VNIc
SRS404784,Bt38,Cryptococcus_neoformans var. grubii_Bt38,Desjardins,,Clinical,VNBII,
SRS404785,Bt207,Cryptococcus_neoformans var. grubii_Bt207,Desjardins,SRR798661,Clinical,VNI,VNIc
SRS404789,Bt53,Cryptococcus_neoformans var. grubii_Bt53,Desjardins,,Clinical,VNBII,
SRS404788,Bt129,Cryptococcus_neoformans var. grubii_Bt129,Desjardins,SRR798230,Clinical,VNI,VNIc
SRS404791,Bt79,Cryptococcus_neoformans var. grubii_Bt79,Desjardins,SRR798236,Clinical,VNI,VNIc
SRS404793,MW-RSA6134,Cryptococcus_neoformans var. grubii_MW-RSA6134,Desjardins,SRR798242,Clinical,VNI,VNIb
SRS404795,MW-RSA82,Cryptococcus_neoformans_MW-RSA82,Desjardins,SRR798243,Clinical,VNI,VNIb
SRS404794,Bt202,Cryptococcus_neoformans_Bt202,Desjardins,SRR798246,Clinical,VNI,VNIc
SRS404797,C2,Cryptococcus_neoformans_C2,Desjardins,,Clinical,VNII,
SRS404800,Bt24,Cryptococcus_neoformans var. grubii_Bt24,Desjardins,,Clinical,VNBI,
SRS404808,Bt81,Cryptococcus_neoformans var. grubii_Bt81,Desjardins,,Clinical,VNBII,
