sample,run,file1,file2,file_unpaired
SRS404494,SRR798716,SRR798716_1.fastq.gz,SRR798716_2.fastq.gz,
SRS404494,SRR798588,SRR798588_1.fastq.gz,SRR798588_2.fastq.gz,
SRS404494,SRR798635,SRR798635_1.fastq.gz,SRR798635_2.fastq.gz,
SRS404495,SRR799095,SRR799095_1.fastq.gz,SRR799095_2.fastq.gz,
SRS404495,SRR822954,SRR822954_1.fastq.gz,SRR822954_2.fastq.gz,
SRS404495,SRR798969,SRR798969_1.fastq.gz,SRR798969_2.fastq.gz,
SRS404495,SRR798229,SRR798229_1.fastq.gz,SRR798229_2.fastq.gz,
SRS404495,SRR798223,SRR798223_1.fastq.gz,SRR798223_2.fastq.gz,
SRS404495,SRR797771,SRR797771_1.fastq.gz,SRR797771_2.fastq.gz,
SRS404495,SRR835462,SRR835462_1.fastq.gz,SRR835462_2.fastq.gz,
SRS404495,SRR835463,SRR835463_1.fastq.gz,SRR835463_2.fastq.gz,
SRS404496,SRR797775,SRR797775_1.fastq.gz,SRR797775_2.fastq.gz,
SRS404496,SRR822947,SRR822947_1.fastq.gz,SRR822947_2.fastq.gz,
SRS404496,SRR822889,SRR822889_1.fastq.gz,SRR822889_2.fastq.gz,
SRS404496,SRR823569,SRR823569_1.fastq.gz,SRR823569_2.fastq.gz,
SRS404496,SRR798211,SRR798211_1.fastq.gz,SRR798211_2.fastq.gz,
SRS404496,SRR798256,SRR798256_1.fastq.gz,SRR798256_2.fastq.gz,
SRS404498,SRR798210,SRR798210_1.fastq.gz,SRR798210_2.fastq.gz,
SRS404498,SRR798179,SRR798179_1.fastq.gz,SRR798179_2.fastq.gz,
SRS404498,SRR797795,SRR797795_1.fastq.gz,SRR797795_2.fastq.gz,
SRS404498,SRR797776,SRR797776_1.fastq.gz,SRR797776_2.fastq.gz,
SRS404498,SRR797791,SRR797791_1.fastq.gz,SRR797791_2.fastq.gz,
SRS404498,SRR798826,SRR798826_1.fastq.gz,SRR798826_2.fastq.gz,
SRS404499,SRR798936,SRR798936_1.fastq.gz,SRR798936_2.fastq.gz,
SRS404499,SRR798664,SRR798664_1.fastq.gz,SRR798664_2.fastq.gz,
SRS404499,SRR799021,SRR799021_1.fastq.gz,SRR799021_2.fastq.gz,
SRS404499,SRR798188,SRR798188_1.fastq.gz,SRR798188_2.fastq.gz,
SRS404499,SRR798971,SRR798971_1.fastq.gz,SRR798971_2.fastq.gz,
SRS404499,SRR797779,SRR797779_1.fastq.gz,SRR797779_2.fastq.gz,
SRS404501,SRR798798,SRR798798_1.fastq.gz,SRR798798_2.fastq.gz,
SRS404501,SRR798291,SRR798291_1.fastq.gz,SRR798291_2.fastq.gz,
SRS404501,SRR798734,SRR798734_1.fastq.gz,SRR798734_2.fastq.gz,
SRS404501,SRR798640,SRR798640_1.fastq.gz,SRR798640_2.fastq.gz,
SRS404501,SRR798287,SRR798287_1.fastq.gz,SRR798287_2.fastq.gz,
SRS404501,SRR797782,SRR797782_1.fastq.gz,SRR797782_2.fastq.gz,
SRS404503,SRR822384,SRR822384_1.fastq.gz,SRR822384_2.fastq.gz,
SRS404503,SRR822490,SRR822490_1.fastq.gz,SRR822490_2.fastq.gz,
SRS404503,SRR797785,SRR797785_1.fastq.gz,SRR797785_2.fastq.gz,
SRS404505,SRR799050,SRR799050_1.fastq.gz,SRR799050_2.fastq.gz,
SRS404505,SRR798875,SRR798875_1.fastq.gz,SRR798875_2.fastq.gz,
SRS404505,SRR797789,SRR797789_1.fastq.gz,SRR797789_2.fastq.gz,
SRS404505,SRR798796,SRR798796_1.fastq.gz,SRR798796_2.fastq.gz,
SRS404505,SRR798881,SRR798881_1.fastq.gz,SRR798881_2.fastq.gz,
SRS404505,SRR798793,SRR798793_1.fastq.gz,SRR798793_2.fastq.gz,
SRS404506,SRR798943,SRR798943_1.fastq.gz,SRR798943_2.fastq.gz,
SRS404506,SRR822382,SRR822382_1.fastq.gz,SRR822382_2.fastq.gz,
SRS404506,SRR966004,SRR966004_1.fastq.gz,SRR966004_2.fastq.gz,
SRS404506,SRR835459,SRR835459_1.fastq.gz,SRR835459_2.fastq.gz,
SRS404506,SRR966003,SRR966003_1.fastq.gz,SRR966003_2.fastq.gz,
SRS404506,SRR797792,SRR797792_1.fastq.gz,SRR797792_2.fastq.gz,
SRS404506,SRR798919,SRR798919_1.fastq.gz,SRR798919_2.fastq.gz,
SRS404506,SRR835458,SRR835458_1.fastq.gz,SRR835458_2.fastq.gz,
SRS404507,SRR798166,SRR798166_1.fastq.gz,SRR798166_2.fastq.gz,
SRS404507,SRR798910,SRR798910_1.fastq.gz,SRR798910_2.fastq.gz,
SRS404507,SRR798816,SRR798816_1.fastq.gz,SRR798816_2.fastq.gz,
SRS404507,SRR797793,SRR797793_1.fastq.gz,SRR797793_2.fastq.gz,
SRS404507,SRR798160,SRR798160_1.fastq.gz,SRR798160_2.fastq.gz,
SRS404507,SRR822494,SRR822494_1.fastq.gz,SRR822494_2.fastq.gz,
SRS404508,SRR798841,SRR798841_1.fastq.gz,SRR798841_2.fastq.gz,
SRS404508,SRR797794,SRR797794_1.fastq.gz,SRR797794_2.fastq.gz,
SRS404508,SRR798771,SRR798771_1.fastq.gz,SRR798771_2.fastq.gz,
SRS404511,SRR798639,SRR798639_1.fastq.gz,SRR798639_2.fastq.gz,
SRS404511,SRR798834,SRR798834_1.fastq.gz,SRR798834_2.fastq.gz,
SRS404511,SRR797799,SRR797799_1.fastq.gz,SRR797799_2.fastq.gz,
SRS404512,SRR798262,SRR798262_1.fastq.gz,SRR798262_2.fastq.gz,
SRS404512,SRR798690,SRR798690_1.fastq.gz,SRR798690_2.fastq.gz,
SRS404512,SRR797800,SRR797800_1.fastq.gz,SRR797800_2.fastq.gz,
SRS404513,SRR798677,SRR798677_1.fastq.gz,SRR798677_2.fastq.gz,
SRS404513,SRR823567,SRR823567_1.fastq.gz,SRR823567_2.fastq.gz,
SRS404513,SRR798789,SRR798789_1.fastq.gz,SRR798789_2.fastq.gz,
SRS404513,SRR798790,SRR798790_1.fastq.gz,SRR798790_2.fastq.gz,
SRS404513,SRR799051,SRR799051_1.fastq.gz,SRR799051_2.fastq.gz,
SRS404513,SRR797801,SRR797801_1.fastq.gz,SRR797801_2.fastq.gz,
SRS404514,SRR823359,SRR823359_1.fastq.gz,SRR823359_2.fastq.gz,
SRS404514,SRR798726,SRR798726_1.fastq.gz,SRR798726_2.fastq.gz,
SRS404514,SRR798977,SRR798977_1.fastq.gz,SRR798977_2.fastq.gz,
SRS404514,SRR798747,SRR798747_1.fastq.gz,SRR798747_2.fastq.gz,
SRS404514,SRR797804,SRR797804_1.fastq.gz,SRR797804_2.fastq.gz,
SRS404514,SRR798863,SRR798863_1.fastq.gz,SRR798863_2.fastq.gz,
SRS404516,SRR798924,SRR798924_1.fastq.gz,SRR798924_2.fastq.gz,
SRS404516,SRR798127,SRR798127_1.fastq.gz,SRR798127_2.fastq.gz,
SRS404516,SRR797808,SRR797808_1.fastq.gz,SRR797808_2.fastq.gz,
