SAMN01932873	Cryptococcus_neoformans var. grubii_Bt103	SRS404472
SAMN01932870	Cryptococcus_neoformans_Bt99	SRS404447
SAMN01932869	Cryptococcus_neoformans_Bt46	SRS404779
SAMN01932867	Cryptococcus_neoformans_Bt45	SRS404741
SAMN01932865	Cryptococcus_neoformans_Bt98	SRS404484
SAMN01932862	Cryptococcus_neoformans_Bt96	SRS405123
SAMN01932859	Cryptococcus_neoformans_Bt70	SRS405120
SAMN01932856	Cryptococcus_neoformans_Bt7	SRS404514
SAMN01932855	Cryptococcus_neoformans_MW-RSA722	SRS404513
SAMN01932854	Cryptococcus_neoformans_Bt68	SRS404501
SAMN01932852	Cryptococcus_neoformans_Bt60	SRS404469
SAMN01932835	Cryptococcus_neoformans var. grubii_Bt151	SRS405134
SAMN01932834	Cryptococcus_neoformans var. grubii_Bt126	SRS404766
SAMN01932833	Cryptococcus_neoformans var. grubii_Bt111	SRS405141
SAMN01932832	Cryptococcus_neoformans var. grubii_31427	SRS405126
SAMN01932831	Cryptococcus_neoformans var. grubii_Bt141	SRS404772
SAMN01932830	Cryptococcus_neoformans var. grubii_Bt123	SRS404508
SAMN01932829	Cryptococcus_neoformans var. grubii_33519	SRS405116
SAMN01932828	Cryptococcus_neoformans var. grubii_Bt139	SRS404481
SAMN01932827	Cryptococcus_neoformans var. grubii_Bt121	SRS405132
SAMN01932826	Cryptococcus_neoformans var. grubii_Bt110	SRS405135
SAMN01932825	Cryptococcus_neoformans var. grubii_36362	SRS405099
SAMN01932824	Cryptococcus_neoformans var. grubii_Bt161	SRS404812
SAMN01932823	Cryptococcus_neoformans var. grubii_Bt137	SRS405113
SAMN01932822	Cryptococcus_neoformans var. grubii_Bt119	SRS404773
SAMN01932821	Cryptococcus_neoformans var. grubii_Bt11	SRS405122
SAMN01932820	Cryptococcus_neoformans var. grubii_Bt160	SRS404512
SAMN01932819	Cryptococcus_neoformans var. grubii_Bt134	SRS404518
SAMN01932818	Cryptococcus_neoformans var. grubii_Bt118	SRS404470
SAMN01932817	Cryptococcus_neoformans var. grubii_Bt108	SRS405129
SAMN01932816	Cryptococcus_neoformans var. grubii_Bt156	SRS404775
SAMN01932815	Cryptococcus_neoformans var. grubii_Bt130	SRS404485
SAMN01932814	Cryptococcus_neoformans var. grubii_Bt117	SRS405145
SAMN01932813	Cryptococcus_neoformans var. grubii_Bt107	SRS404503
SAMN01932812	Cryptococcus_neoformans var. grubii_Bt155	SRS404491
SAMN01932811	Cryptococcus_neoformans var. grubii_Bt129	SRS404788
SAMN01932810	Cryptococcus_neoformans var. grubii_Bt116	SRS405147
SAMN01932809	Cryptococcus_neoformans var. grubii_Bt106	SRS404444
SAMN01932808	Cryptococcus_neoformans var. grubii_Bt153	SRS405107
SAMN01932806	Cryptococcus_neoformans var. grubii_Bt114	SRS404780
SAMN01932805	Cryptococcus_neoformans var. grubii_Bt104	SRS405142
SAMN01932804	Cryptococcus_neoformans_Bt97	SRS405137
SAMN01932803	Cryptococcus_neoformans_Bt20	SRS404756
SAMN01932801	Cryptococcus_neoformans_Bt2	SRS404493
SAMN01932800	Cryptococcus_neoformans_Bt62	SRS405136
SAMN01932799	Cryptococcus_neoformans_Bt19	SRS404511
SAMN01932798	Cryptococcus_neoformans_Bt47	SRS405121
SAMN01932797	Cryptococcus_neoformans_Pr68	SRS405133
SAMN01932796	Cryptococcus_neoformans_Bt44	SRS404782
SAMN01932795	Cryptococcus_neoformans_Bt18	SRS404745
SAMN01932794	Cryptococcus_neoformans_MW-RSA82	SRS404795
SAMN01932793	Cryptococcus_neoformans_Bt43	SRS404460
SAMN01932792	Cryptococcus_neoformans_Bt17	SRS405098
SAMN01932791	Cryptococcus_neoformans_C2	SRS404797
SAMN01932790	Cryptococcus_neoformans_Bt164	SRS405114
SAMN01932789	Cryptococcus_neoformans_Bt202	SRS404794
SAMN01932788	Cryptococcus_neoformans_Bt132	SRS404760
